impressions,clicks,ad_position,device_type,budget,ctr
9308,559,9,mobile,2156.12,0.06005586592178771
16471,181,10,mobile,853.2,0.01098901098901099
11935,576,7,desktop,9804.83,0.04826141600335149
13268,246,4,desktop,9188.21,0.018540850165812483
2149,244,3,mobile,7180.48,0.11354118194509075
5523,506,10,desktop,4288.43,0.09161687488683687
14689,422,6,desktop,1942.27,0.028728980870038806
19592,320,1,tablet,2253.82,0.016333197223356473
7258,87,3,mobile,4458.25,0.011986773215761918
10348,217,2,mobile,7693.82,0.020970235794356397
7500,490,9,tablet,2684.06,0.06533333333333333
19654,519,3,mobile,3142.38,0.026406838302635596
9974,278,2,desktop,6019.45,0.027872468417886504
15251,849,4,mobile,2415.41,0.0556684807553603
18739,722,2,mobile,5862.98,0.038529270505363145
1254,169,1,mobile,3901.95,0.13476874003189793
4599,330,6,mobile,391.96,0.07175472928897586
6395,650,10,tablet,4056.88,0.1016419077404222
12283,441,8,mobile,9199.28,0.035903280957420826
12974,391,10,desktop,2966.46,0.03013719747186681
18132,496,10,desktop,3262.18,0.027354952570041915
5639,381,2,mobile,706.11,0.06756517112963291
9737,306,9,desktop,6169.72,0.031426517407825816
15686,742,3,mobile,8499.96,0.04730332780823664
2657,987,8,desktop,3561.58,0.37147158449379
5692,820,8,mobile,2440.44,0.14406184118060436
16582,673,3,mobile,9568.29,0.04058617778313834
2300,513,3,mobile,7463.47,0.22304347826086957
14272,748,6,desktop,5693.28,0.05241031390134529
3061,949,1,tablet,3090.04,0.3100294021561581
14307,188,4,mobile,2246.94,0.013140420773048158
12069,930,1,mobile,7171.65,0.07705692269450659
2969,516,3,mobile,5241.8,0.1737958908723476
17440,913,9,desktop,5229.97,0.05235091743119266
14092,644,5,mobile,783.41,0.04569968776610843
5799,427,5,desktop,5146.34,0.07363338506639076
4087,502,4,mobile,8236.3,0.12282848054807928
13546,730,3,mobile,9470.65,0.05389044736453566
1318,260,5,desktop,1111.49,0.19726858877086495
4835,513,4,desktop,6330.09,0.1061013443640124
11396,71,8,desktop,5705.06,0.00623025623025623
4655,478,4,mobile,8908.61,0.10268528464017186
9246,178,8,desktop,7524.88,0.019251568245727883
8150,457,6,mobile,9654.36,0.05607361963190184
12857,189,5,tablet,9602.32,0.014700163335148168
19930,291,4,mobile,2295.57,0.014601103863522329
17529,520,4,mobile,7267.24,0.02966512636202864
6993,765,4,mobile,5328.7,0.1093951093951094
18177,920,9,mobile,2185.29,0.05061341255432689
14473,979,4,mobile,1988.95,0.06764319767843571
14665,292,9,desktop,856.79,0.019911353562904875
3536,946,10,desktop,7965.68,0.2675339366515837
8854,756,6,tablet,3278.82,0.08538513666139598
10777,635,10,mobile,8576.84,0.05892177786025796
5995,811,7,mobile,6102.74,0.13527939949958298
19838,283,10,desktop,6752.65,0.014265550962798669
16709,544,3,mobile,2952.15,0.03255730444670537
15736,846,8,mobile,4600.08,0.053762074224707676
7122,377,3,desktop,4152.56,0.05293456894130862
9251,658,1,mobile,2395.1,0.07112744568154794
5700,156,10,mobile,8333.5,0.02736842105263158
8096,508,5,desktop,6239.74,0.06274703557312253
9107,413,2,mobile,422.45,0.045349730976172176
13046,528,10,desktop,8208.17,0.04047217537942664
4742,355,6,mobile,1105.08,0.07486292703500633
11412,559,10,desktop,4066.78,0.048983526112863655
7779,763,9,mobile,5734.01,0.09808458670780305
8308,187,1,desktop,126.13,0.022508425613866154
18689,31,4,mobile,6546.44,0.0016587297340681685
10816,260,1,desktop,6614.04,0.02403846153846154
17553,421,1,mobile,6542.64,0.02398450407337777
3544,529,8,mobile,1676.51,0.14926636568848758
10857,551,2,desktop,2594.54,0.05075066777194437
14534,304,1,mobile,2511.39,0.020916471721480666
1160,942,8,mobile,9602.67,0.8120689655172414
18811,986,4,mobile,721.91,0.05241613949284993
3520,944,3,mobile,4316.18,0.2681818181818182
401,39,4,mobile,8718.98,0.09725685785536159
12568,489,5,mobile,7706.19,0.03890833863781031
17090,644,1,mobile,8233.3,0.03768285547103569
19654,542,1,desktop,9724.32,0.027577083545334283
799,670,3,mobile,3903.26,0.8385481852315394
290,278,6,mobile,3131.07,0.9586206896551724
10592,203,1,tablet,355.06,0.019165407854984894
17464,66,2,desktop,1542.69,0.0037792029317453048
3075,108,7,mobile,5642.05,0.0351219512195122
6202,268,1,mobile,1618.72,0.043211867139632376
17668,222,7,tablet,7376.23,0.01256508942721304
19811,804,4,mobile,420.46,0.04058351420927767
19878,530,10,mobile,2631.91,0.02666264211691317
1916,90,6,mobile,6969.76,0.04697286012526096
669,669,8,desktop,2592.25,1.0
5542,255,9,mobile,7301.17,0.046012269938650305
1995,455,6,desktop,9958.85,0.22807017543859648
19217,253,9,desktop,7980.99,0.01316542644533486
3963,257,4,mobile,3451.26,0.06484986121625032
13013,383,6,desktop,9010.89,0.029432106355183278
7555,442,8,mobile,559.24,0.0585043017868961
4114,858,9,mobile,7263.82,0.20855614973262032
11193,599,3,mobile,282.06,0.053515590100955954
18170,90,2,mobile,1786.83,0.0049532195927352776
3109,749,6,mobile,9876.48,0.24091347700225152
16638,390,4,mobile,3640.8,0.023440317345834835
10829,582,1,mobile,8213.97,0.053744574752978114
1509,44,8,mobile,3792.06,0.0291583830351226
12349,712,9,mobile,8408.28,0.0576564904040813
884,664,9,desktop,9656.12,0.751131221719457
8196,598,2,mobile,4383.59,0.07296242069302099
7660,19,9,desktop,5615.52,0.0024804177545691905
12633,101,7,mobile,6304.96,0.007994933903269216
7443,914,5,mobile,9351.61,0.12279994625822921
7306,607,7,mobile,2604.6,0.08308239802901725
5901,766,9,mobile,6131.93,0.12980850703270633
19290,357,8,mobile,3280.97,0.018506998444790045
17021,542,6,mobile,2208.49,0.03184301744903355
6086,761,4,tablet,894.96,0.12504107788366745
18325,938,1,tablet,6226.07,0.0511869031377899
10747,33,6,mobile,8826.75,0.0030706243602865915
8816,970,3,desktop,3546.36,0.11002722323049002
19434,229,6,mobile,5549.05,0.011783472265102398
12423,524,6,mobile,6439.23,0.042179827738871446
4880,630,4,desktop,4175.77,0.1290983606557377
2468,862,2,mobile,9038.31,0.3492706645056726
12139,155,9,mobile,3659.41,0.01276876184199687
6755,423,2,mobile,1293.86,0.06262028127313102
8273,905,3,mobile,1483.0,0.10939199806599782
4595,246,10,mobile,8914.03,0.05353645266594124
10993,405,1,mobile,9880.68,0.03684162648958428
13503,844,7,mobile,2924.93,0.06250462860105162
13221,759,1,mobile,1478.85,0.05740866802813705
11066,541,9,desktop,4848.01,0.04888848725826857
953,161,1,mobile,7109.8,0.1689401888772298
17058,747,5,desktop,6143.41,0.04379176925782624
17632,702,7,desktop,9513.53,0.03981397459165154
10007,117,3,desktop,8186.89,0.011691815728989707
4877,271,9,desktop,8696.27,0.05556694689358212
15438,770,8,mobile,5439.59,0.049876927063091075
2591,692,3,mobile,3306.39,0.26707834812813586
15428,487,5,mobile,7032.27,0.03156598392533057
14699,885,7,tablet,4418.58,0.06020817742703585
19608,172,4,mobile,2913.15,0.008771929824561403
3151,950,5,mobile,1565.09,0.30149158997143766
16079,274,3,mobile,5302.35,0.017040860750046644
16488,259,9,tablet,5962.82,0.015708393983503155
976,135,10,mobile,5709.42,0.13831967213114754
4242,683,9,mobile,1209.66,0.161008958038661
15302,722,7,mobile,5721.37,0.04718337472225853
7066,748,10,tablet,1725.72,0.10585904330597226
7179,422,2,mobile,6653.96,0.058782560245159494
8087,421,7,mobile,4322.37,0.0520588598986027
6899,186,7,desktop,8495.45,0.02696042904768807
4565,929,5,mobile,7793.74,0.20350492880613363
17119,364,9,desktop,7257.6,0.02126292423622875
13517,955,3,mobile,7022.33,0.07065177184286454
18177,607,4,mobile,5626.86,0.03339384937008307
8411,378,1,desktop,658.08,0.04494114849601712
17314,523,6,tablet,6572.12,0.03020676908859882
14198,580,4,mobile,4695.88,0.040850824059726724
5277,891,1,mobile,4722.07,0.16884593519044913
14362,722,2,desktop,3821.27,0.050271549923408994
8408,196,3,mobile,9294.26,0.023311132254995242
6049,881,9,tablet,2532.04,0.1456439080839808
19322,98,8,tablet,3200.11,0.005071938722699514
1250,605,7,mobile,9632.26,0.484
2031,984,4,tablet,8111.03,0.4844903988183161
9304,22,1,mobile,190.16,0.0023645743766122097
18148,450,8,desktop,9065.77,0.024796120784659467
1181,172,4,mobile,2305.14,0.14563928873835733
16996,383,3,desktop,7074.03,0.022534714050364793
13507,134,9,desktop,5553.08,0.009920781816835715
7905,426,10,desktop,5391.28,0.05388994307400379
5337,25,4,tablet,7193.32,0.00468427955780401
17043,503,4,mobile,2111.46,0.029513583289326996
12875,185,9,mobile,1632.3,0.014368932038834952
16344,85,2,desktop,6536.53,0.005200685266764562
13284,567,5,desktop,2941.26,0.042682926829268296
3443,763,4,tablet,9740.8,0.22160906186465293
13600,144,9,tablet,4542.54,0.010588235294117647
9762,863,5,mobile,1160.39,0.0884040155705798
17064,910,9,mobile,6873.86,0.053328645100797
15225,679,9,mobile,3096.28,0.04459770114942529
8230,412,2,desktop,1528.44,0.05006075334143378
19631,224,9,mobile,4257.09,0.011410524170954103
1779,220,3,desktop,9644.01,0.12366498032602585
3606,179,4,mobile,4143.73,0.04963948973932335
13384,631,1,mobile,3505.97,0.04714584578601315
7353,433,1,mobile,4472.86,0.0588875288997688
19228,265,1,mobile,170.55,0.013781984605783233
9535,954,9,desktop,1374.36,0.10005243838489775
11410,429,8,mobile,8504.26,0.03759859772129711
13396,662,5,mobile,9781.44,0.04941773663780233
18625,416,5,mobile,1621.52,0.022335570469798657
13345,453,9,desktop,5378.4,0.03394529786436868
11251,727,3,desktop,9665.02,0.06461647853524131
10557,197,3,mobile,1607.98,0.0186606043383537
2579,554,7,desktop,1903.78,0.21481194261341605
4552,53,9,mobile,9271.82,0.01164323374340949
5981,480,6,mobile,7071.59,0.08025413810399598
14169,443,2,desktop,1562.07,0.031265438633636816
2949,330,1,mobile,3965.25,0.11190233977619532
7490,251,2,desktop,609.89,0.03351134846461949
12022,807,1,mobile,4355.08,0.0671269339544169
2589,890,10,tablet,7790.12,0.3437620702974121
9923,783,10,mobile,5562.02,0.07890758843091807
9307,967,9,mobile,6492.05,0.10390029010422262
9640,925,10,tablet,3301.86,0.09595435684647304
16464,123,8,mobile,1655.89,0.007470845481049562
4711,879,7,mobile,180.51,0.18658458925918064
19323,387,3,mobile,8222.06,0.020027945971122497
5978,339,8,mobile,6384.71,0.05670792907326865
16447,778,2,mobile,2331.75,0.04730345959749498
951,348,2,mobile,4213.42,0.3659305993690852
18171,29,10,desktop,8024.36,0.0015959495900060535
6933,975,3,mobile,5410.07,0.14063176114236262
12038,35,7,desktop,3036.59,0.0029074597109154344
2527,518,1,mobile,2708.49,0.20498614958448755
4100,396,8,mobile,2215.26,0.09658536585365854
5152,623,7,mobile,8246.11,0.12092391304347826
2838,294,4,mobile,5839.51,0.10359408033826638
5487,589,5,mobile,7106.11,0.10734463276836158
8102,349,10,mobile,8608.2,0.043075783757097016
5636,147,1,mobile,9869.27,0.026082327892122073
13579,67,4,mobile,2532.36,0.004934089402754253
4013,904,1,mobile,1849.98,0.22526787939197607
17550,520,1,mobile,4646.88,0.02962962962962963
10736,122,10,desktop,398.96,0.011363636363636364
5826,340,1,mobile,7927.59,0.05835907998626845
3473,175,7,mobile,8843.41,0.05038871292830406
12261,900,7,mobile,6876.1,0.07340347443112308
2182,691,4,mobile,2716.55,0.31668194317140236
16381,597,2,mobile,1275.4,0.03644466149807704
15405,451,3,tablet,3852.33,0.029276209023044467
9917,557,8,desktop,8341.69,0.05616617928809116
11361,136,8,desktop,3510.89,0.011970777220315114
517,517,6,desktop,390.83,1.0
8908,16,10,mobile,2779.09,0.001796138302649304
3367,333,9,mobile,9899.96,0.0989010989010989
17309,195,9,desktop,6782.85,0.011265815471719915
5845,496,4,mobile,9013.51,0.08485885372112917
11438,9,1,mobile,7759.91,0.0007868508480503584
512,512,1,desktop,5420.07,1.0
7643,334,10,desktop,1529.45,0.043700117754808324
7687,333,5,mobile,3519.01,0.04331989072459998
828,327,2,mobile,5858.22,0.39492753623188404
11757,15,6,desktop,8712.79,0.0012758356723653994
6088,839,7,desktop,2723.32,0.1378120893561104
18988,614,1,desktop,1256.21,0.032336212344638716
3067,226,6,tablet,5610.38,0.07368764264753831
14627,425,8,mobile,1806.19,0.0290558556094893
19270,790,5,mobile,6123.1,0.04099636741048261
16148,408,7,mobile,2672.04,0.025266286846668318
17606,113,10,mobile,2348.08,0.006418266500056799
18055,997,6,tablet,4021.85,0.05522016062032678
5173,428,4,tablet,5952.26,0.08273728977382563
5204,1,7,mobile,5475.91,0.0001921598770176787
2243,266,10,mobile,2485.11,0.1185911725367811
7457,491,9,mobile,8916.61,0.06584417326002413
12143,208,10,desktop,1143.33,0.017129210244585358
3540,622,10,mobile,442.7,0.17570621468926553
5744,712,7,mobile,6046.93,0.12395543175487465
10618,952,5,mobile,1277.9,0.0896590695046148
14652,369,7,mobile,5073.66,0.025184275184275184
3014,985,3,tablet,9520.14,0.32680822826808226
13684,306,2,mobile,7000.87,0.022361882490499852
12244,12,5,mobile,6193.69,0.0009800718719372753
14497,345,4,mobile,5769.31,0.023798027178036835
8887,465,5,mobile,1836.42,0.05232361876898841
14291,700,8,desktop,4354.85,0.04898187670561892
828,666,4,mobile,3458.11,0.8043478260869565
17849,494,9,mobile,9533.09,0.027676620538965767
798,368,7,desktop,2461.09,0.46115288220551376
7286,846,10,mobile,4741.59,0.11611309360417238
14612,937,7,desktop,9383.89,0.06412537640295647
14023,420,8,mobile,7902.35,0.02995079512229908
16879,889,6,mobile,9646.93,0.05266899697849399
7500,791,8,desktop,6102.89,0.10546666666666667
4271,171,3,desktop,3371.18,0.04003746195270429
4460,134,10,mobile,8275.17,0.030044843049327353
2602,965,10,mobile,2949.99,0.3708685626441199
17201,427,1,mobile,1689.49,0.024824138131503984
19266,25,6,mobile,7077.57,0.0012976227551126337
5586,530,1,mobile,6407.61,0.09488005728607232
8435,190,9,desktop,8795.54,0.022525192649673977
4591,141,2,mobile,9621.15,0.030712263123502503
11230,555,2,mobile,8579.12,0.04942119323241318
7751,846,7,mobile,647.22,0.10914720681202425
1267,796,2,mobile,6661.91,0.6282557221783741
1162,658,10,desktop,7858.09,0.5662650602409639
18640,315,8,mobile,9820.19,0.01689914163090129
11274,444,6,mobile,3777.88,0.03938265034592869
4829,319,7,tablet,1740.32,0.06605922551252848
9448,441,7,mobile,8536.68,0.04667654530059272
5434,92,6,mobile,3208.79,0.016930437983069563
9024,179,10,mobile,6002.11,0.019835992907801418
4430,56,9,tablet,3929.45,0.012641083521444696
6901,155,9,tablet,4053.15,0.02246051296913491
4946,672,7,mobile,7338.02,0.13586736756975334
6831,111,9,mobile,3646.68,0.016249451032059728
15468,137,10,tablet,6946.1,0.008856995086630463
17437,232,3,mobile,192.57,0.013305041004759993
2639,992,3,mobile,3280.24,0.37589996210685866
7156,468,1,desktop,3224.49,0.06539966461710453
11616,732,5,mobile,7500.91,0.06301652892561983
11593,481,4,mobile,3179.84,0.041490554645044427
1642,68,2,desktop,6351.6,0.04141291108404385
14064,814,9,mobile,6900.82,0.05787827076222981
17675,249,3,mobile,6601.33,0.014087694483734087
6413,994,8,mobile,6052.77,0.15499766100109152
19165,323,6,mobile,4165.49,0.016853639446908427
18024,922,5,mobile,3764.38,0.05115401686640036
13907,904,1,mobile,5667.61,0.06500323578054218
9680,518,4,desktop,683.85,0.05351239669421488
17849,976,3,desktop,8764.41,0.054680934506134794
8791,792,1,mobile,8261.89,0.0900921396883176
7594,432,5,desktop,3496.53,0.056887016065314724
4412,487,6,desktop,5689.85,0.11038077969174977
1424,606,2,desktop,9325.67,0.425561797752809
3241,429,3,mobile,2752.79,0.13236655353286023
19970,269,6,desktop,7437.43,0.013470205307961943
1910,709,4,mobile,873.18,0.3712041884816754
6688,537,9,mobile,5257.55,0.08029306220095694
19407,148,5,mobile,8845.49,0.007626114288658731
5401,118,4,desktop,5539.51,0.021847805961858913
15585,850,2,mobile,6181.72,0.05453962143086301
11814,367,6,mobile,9081.01,0.03106483832740816
4848,850,10,desktop,7167.84,0.17533003300330033
9535,66,2,desktop,6973.9,0.006921866806502359
3809,970,7,desktop,5884.52,0.2546600157521659
13216,813,3,mobile,6348.24,0.061516343825665856
9676,370,9,mobile,8046.87,0.038238941711451015
10250,175,5,desktop,9793.37,0.01707317073170732
19556,831,8,mobile,7963.49,0.04249335242380855
6630,588,6,desktop,7089.99,0.08868778280542987
10288,495,10,mobile,1398.67,0.04811430793157076
14783,973,8,tablet,8179.95,0.06581884597172427
604,114,3,mobile,7373.14,0.18874172185430463
1314,111,3,mobile,7715.8,0.08447488584474885
1631,761,5,desktop,2349.41,0.46658491722869405
923,439,10,mobile,9039.26,0.47562296858071507
17412,715,3,mobile,1017.95,0.0410636342752125
5129,147,8,desktop,2573.44,0.028660557613569896
13528,35,10,mobile,6647.08,0.00258722649319929
16617,999,8,mobile,6753.46,0.06011915508214479
2205,309,2,mobile,3167.58,0.1401360544217687
3727,538,4,mobile,7030.12,0.14435202575798228
13072,750,10,mobile,3909.91,0.057374541003671974
1952,14,1,desktop,51.75,0.007172131147540984
5010,374,4,desktop,1667.93,0.07465069860279441
11103,557,4,mobile,8832.05,0.050166621633792666
